"prideID","tax","organismParts","experimentTypes","instruments"
"PXD024921","Canis familiaris (dog) (canis lupus familiaris)","Cerebrospinal fluid","Shotgun proteomics","Q Exactive Plus"
"PXD025240","Mus musculus (mouse)","Cell culture;Brain","Shotgun proteomics","Q Exactive"
"PXD025367","Vibrio anguillarum","","Shotgun proteomics","Q Exactive"
"PXD025409","Drosophila melanogaster (fruit fly)","Testis","Top-down proteomics","Orbitrap Fusion Lumos"
"PXD025729","Homo sapiens (human)","T cell;Cell culture","Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD025867","Homo sapiens (human)","Cell culture;Stem cell","Shotgun proteomics","Q Exactive"
"PXD025899","Homo sapiens (human)","Sweat","Shotgun proteomics","Q Exactive Plus"
"PXD026407","Mus musculus (mouse)","","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Orbitrap Exploris 480"
"PXD026638","Mus musculus (mouse)","Stem cell","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion Lumos"
"PXD026871","Rattus norvegicus (rat)","Brain","Shotgun proteomics","Q Exactive HF"
"PXD026876","Homo sapiens (human)","Neuroblastoma cell line;Nerve","Shotgun proteomics","Q Exactive HF"
"PXD026887","Mus musculus (mouse)","Brain","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD026894","Homo sapiens (human)","Early embryonic cell","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD027101","Drosophila melanogaster (fruit fly)","Head","Shotgun proteomics","Orbitrap Fusion"
"PXD027110","Homo sapiens (human)","Cell culture;Astrocyte","Shotgun proteomics","Q Exactive"
"PXD027338","Mus musculus (mouse)","Macrophage;Cell culture","Shotgun proteomics","Orbitrap Fusion Lumos;Q Exactive Plus"
"PXD027368","Mus musculus (mouse)","Embryonic stem cell","Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD027642","Homo sapiens (human)","Embryonic stem cell;Glandular cell of endometrium","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD027707","Homo sapiens (human)","","Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion Lumos"
"PXD027810","Escherichia coli","Cell culture","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD027812","Homo sapiens (human)","Brain","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD028004","Saccharomyces cerevisiae (baker's yeast)","","Shotgun proteomics","Orbitrap Fusion"
"PXD028050","Homo sapiens (human)","Stem cell","Shotgun proteomics","LTQ Orbitrap"
"PXD028095","Bos taurus (bovine)","Milk","Shotgun proteomics","Q Exactive"
"PXD028324","Homo sapiens (human)","Kidney;Hek-293t cell","Shotgun proteomics","Q Exactive HF"
"PXD028374","Homo sapiens (human)","Cell culture;Fibroblast","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD028974","Homo sapiens (human)","Cell culture","Shotgun proteomics","TripleTOF 5600"
"PXD029008","Caenorhabditis elegans","","Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion Lumos"
"PXD029014","Homo sapiens (human)","Epithelial cell;Cell culture","Shotgun proteomics","LTQ Orbitrap"
"PXD029234","Arabidopsis thaliana (mouse-ear cress)","Rosette","SWATH MS;Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD029290","Homo sapiens (human)","Brain","Shotgun proteomics","Q Exactive HF"
"PXD029344","Homo sapiens (human)","Adrenal medulla","Shotgun proteomics","Orbitrap Fusion"
"PXD029526","Homo sapiens (human)","Neuronal stem cell","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Elite"
"PXD029842","Rattus norvegicus (rat)","Liver;Epithelial cell of lung","Shotgun proteomics","Q Exactive"
"PXD029954","Homo sapiens (human);Severe acute respiratory syndrome coronavirus 2","Epithelial cell;Cell culture","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD021265","Homo sapiens (human)","Bone marrow;Cell culture;Blood cell","Shotgun proteomics","Q Exactive HF-X"
"PXD021375","Rattus rattus (black rat)","Cell culture;Specialized cardiac myocyte","Top-down proteomics;Gel-based experiment","LTQ Orbitrap Elite"
"PXD024407","Homo sapiens (human)","Epithelial cell of prostate;Prostate adenocarcinoma cell line","Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD024433","Homo sapiens (human)","Epithelial cell of prostate;Prostate adenocarcinoma cell line","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD024456","Homo sapiens (human)","Epithelial cell of prostate;Prostate adenocarcinoma cell line","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD027168","Homo sapiens (human)","Kidney","Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion Lumos"
"PXD027237","Homo sapiens (human)","","Gel-based experiment","Q Exactive"
"PXD027628","Mus musculus (mouse)","Neutrophil;Lung","Shotgun proteomics","Q Exactive"
"PXD027768","Bacillus subtilis","","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD027772","Sus scrofa domesticus (domestic pig)","Skeletal muscle;Heart","Shotgun proteomics","Q Exactive HF"
"PXD028398","Mus musculus (mouse)","Epithelial cell;Cell culture","Shotgun proteomics","LTQ Orbitrap Elite;Orbitrap Fusion"
"PXD029083","Takydromus wolteri;Takydromus septentrionalis;Takydromus sexlineatus","Diploid cell;Liver","Shotgun proteomics","Q Exactive"
"PXD029255","Homo sapiens (human)","Epithelial cell;Cell culture","Shotgun proteomics","Q Exactive HF-X"
"PXD029404","Mus musculus (mouse)","Brain","Shotgun proteomics","Q Exactive"
"PXD030012","Homo sapiens (human)","Saliva","Shotgun proteomics","Q Exactive"
"PXD030049","Homo sapiens (human)","Cell culture","Shotgun proteomics","Q Exactive HF"
"PXD030482","Ursus arctos arctos (european brown bear)","Blood plasma","Shotgun proteomics","Q Exactive HF"
"PXD030640","Homo sapiens (human)","Primary cell","Shotgun proteomics","Q Exactive HF"
"PXD015052","Bacteroides thetaiotaomicron (strain atcc 29148 / dsm 2079 / nctc 10582 / e50 / vpi-5482)","","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD020203","Homo sapiens (human);Serpentes","Blood","Shotgun proteomics","impact II"
"PXD023705","Sus scrofa domesticus (domestic pig)","","Shotgun proteomics","Q Exactive"
"PXD025184","Homo sapiens (human)","Keratinocyte;Cell culture","Shotgun proteomics","Orbitrap Fusion"
"PXD025474","Drosophila melanogaster (fruit fly)","","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion"
"PXD025817","Homo sapiens (human)","Kidney;Kidney","Affinity purification coupled with mass spectrometry proteomics","Q Exactive Plus"
"PXD027599","Mus musculus (mouse)","Cerebellum","Shotgun proteomics","Q Exactive HF-X"
"PXD027603","Mus musculus (mouse)","Thymus","Shotgun proteomics","Q Exactive HF-X"
"PXD027622","Mus musculus (mouse)","Heart","Shotgun proteomics","Q Exactive HF-X"
"PXD027813","Giardia lamblia atcc 50803","","Shotgun proteomics","Q Exactive Plus"
"PXD028092","Leishmania mexicana mhom/gt/2001/u1103","","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD028421","Mus musculus (mouse)","Telencephalon","Shotgun proteomics","Q Exactive HF-X"
"PXD028901","Saccharomyces cerevisiae (baker's yeast);Mus musculus (mouse)","","SWATH MS","Q Exactive HF-X"
"PXD029194","Mus musculus (mouse)","Brain","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion"
"PXD029427","Rattus norvegicus (rat);Mus musculus (mouse)","Fibroblast;Brain","Shotgun proteomics;Gel-based experiment;Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion"
"PXD029496","Homo sapiens (human)","Kidney","Shotgun proteomics","Q Exactive HF"
"PXD029737","Mus musculus (mouse)","Brain","Shotgun proteomics","Orbitrap Fusion"
"PXD029753","Homo sapiens (human);Influenza a virus","Epithelial cell;Cell culture","Shotgun proteomics","LTQ Orbitrap"
"PXD029828","Yersinia pestis;Francisella tularensis subsp. tularensis;Francisella tularensis subsp. holarctica","","Shotgun proteomics","LTQ Orbitrap XL"
"PXD030456","Homo sapiens (human)","Cell culture","Shotgun proteomics","Orbitrap Eclipse"
"PXD030484","Streptomyces sp. mbt84","","Shotgun proteomics","Q Exactive HF"
"PXD002270","Homo sapiens (human)","Permanent cell line cell;Bone marrow","SRM/MRM;Shotgun proteomics","Q Exactive"
"PXD004269","Arabidopsis thaliana (mouse-ear cress)","Root;Plant cell","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD005499","Mus musculus (mouse)","Kidney","Shotgun proteomics","Q Exactive"
"PXD006865","Homo sapiens (human)","Bone marrow;Mesenchymal stem cell of the bone marrow","Shotgun proteomics","LTQ Orbitrap"
"PXD007967","Homo sapiens (human)","","Shotgun proteomics","LTQ Orbitrap"
"PXD009309","Homo sapiens (human)","Epithelial cell;Primary cell","Shotgun proteomics","Q Exactive"
"PXD011244","Escherichia coli;Staphylococcus aureus","","Shotgun proteomics","LTQ Orbitrap"
"PXD011647","Homo sapiens (human)","Blood plasma","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD011791","Danio rerio (zebrafish) (brachydanio rerio)","Heart","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD016006","Mycobacterium tuberculosis h37rv","","Gel-based experiment","Q Exactive"
"PXD016675","Drosophila melanogaster (fruit fly)","Midgut","Shotgun proteomics","maXis"
"PXD016800","Homo sapiens (human)","Cell suspension culture;B cell;Cell culture","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD017414","Mus musculus (mouse)","Lens fiber","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD018299","Homo sapiens (human)","Permanent cell line cell;Cell culture","Shotgun proteomics","Orbitrap Fusion Lumos;Q Exactive HF"
"PXD018905","Homo sapiens (human)","Kidney;Kidney epithelium","Shotgun proteomics","Q Exactive"
"PXD018917","Saccharomyces cerevisiae (baker's yeast)","Permanent cell line cell","Gel-based experiment","LTQ Orbitrap Velos"
"PXD019288","Escherichia coli","","Shotgun proteomics","Q Exactive HF"
"PXD019521","Homo sapiens (human);Macaca mulatta (rhesus macaque)","Cardiac muscle tissue;Heart;Stem cell","Shotgun proteomics","Q Exactive"
"PXD019951","Saccharomyces cerevisiae (baker's yeast)","","Shotgun proteomics","Q Exactive"
"PXD020346","Mus musculus (mouse)","Bone","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD020421","Mus musculus (mouse)","Lens fiber cell;Lens","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD020812","Mus musculus (mouse)","Epididymal white adipose tissue;Cell culture","Shotgun proteomics;Gel-based experiment;Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD021136","Homo sapiens (human)","Neutrophil","Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD022357","Oryza sativa (rice)","Plant cell;Endosperm;Aleurone layer","Shotgun proteomics","Q Exactive HF"
"PXD022909","Mus musculus (mouse)","T cell","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD023082","Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)","","Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD023118","Homo sapiens (human)","Liver","Shotgun proteomics","Q Exactive HF"
"PXD023137","Homo sapiens (human)","","Shotgun proteomics","Q Exactive HF"
"PXD023565","Homo sapiens (human)","","Shotgun proteomics","Q Exactive;Q Exactive HF"
"PXD023679","Helicobacter pylori j99 (campylobacter pylori j99)","","Shotgun proteomics","Q Exactive"
"PXD023694","Sus scrofa (pig);Mus musculus (mouse)","","Shotgun proteomics","Q Exactive Plus"
"PXD024141","Homo sapiens (human)","Cell culture","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD024216","Homo sapiens (human)","Blood;Extracellular vesicle","Shotgun proteomics","Orbitrap Fusion"
"PXD024632","Homo sapiens (human)","Cell culture;Primary cell;Hepatocyte","Shotgun proteomics","Q Exactive HF"
"PXD024782","Escherichia coli","","Shotgun proteomics","Q Exactive"
"PXD025127","Homo sapiens (human)","Feces","Shotgun proteomics","TripleTOF 5600"
"PXD025191","Homo sapiens (human)","Skin;Keratinocyte","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD025255","Homo sapiens (human)","Cell culture;Melanocyte","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD025337","Bos taurus (bovine)","Lens fiber cell;Lens","Shotgun proteomics","Q Exactive Plus"
"PXD025773","Rattus norvegicus (rat)","Brain","Top-down proteomics","Q Exactive HF"
"PXD025784","Vitis vinifera (grape)","Skin","Shotgun proteomics","Q Exactive"
"PXD025980","Homo sapiens (human)","","Chemical cross-linking coupled with mass spectrometry proteomics;Gel-based experiment","Orbitrap Fusion Lumos"
"PXD026071","Homo sapiens (human)","T cell","Gel-based experiment","Orbitrap Fusion Lumos"
"PXD026099","Homo sapiens (human)","Skin;Keratinocyte","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD026100","Homo sapiens (human)","Skin;Keratinocyte","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD026184","Homo sapiens (human)","B cell;Cell culture","Shotgun proteomics","Q Exactive HF"
"PXD026436","Homo sapiens (human)","Cell culture;Stem cell","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD026487","Arabidopsis thaliana (mouse-ear cress)","Whole body","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Velos"
"PXD026508","Homo sapiens (human)","T cell;Cell culture","Shotgun proteomics","Q Exactive"
"PXD026557","Homo sapiens (human)","Cell culture","Shotgun proteomics","Q Exactive HF"
"PXD026640","Pseudomonas pseudoalcaligenes cect 5344","Prokaryotic cell","Shotgun proteomics","Orbitrap Fusion"
"PXD026728","Homo sapiens (human)","","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Elite"
"PXD026740","Homo sapiens (human)","Cell culture","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD026922","Mus musculus (mouse)","Macrophage;Early embryonic cell","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD026927","Homo sapiens (human)","Cell culture;Testis","Shotgun proteomics","Q Exactive Plus"
"PXD027228","Homo sapiens (human)","Cell culture","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD027240","Homo sapiens (human)","Bone marrow","Shotgun proteomics","LTQ Orbitrap Velos;Q Exactive"
"PXD027260","Sus scrofa domesticus (domestic pig)","Cell culture;Kidney cell","Shotgun proteomics","Q Exactive"
"PXD027261","Xanthomonas campestris pv. campestris str. b100","","Top-down proteomics","Q Exactive"
"PXD027352","Homo sapiens (human)","","Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion Lumos"
"PXD027355","Homo sapiens (human)","Lymph node;B cell","Shotgun proteomics","Q Exactive HF"
"PXD027391","Arabidopsis thaliana (mouse-ear cress)","","Shotgun proteomics","Q Exactive HF"
"PXD027435","Papaver somniferum","Whole body","Shotgun proteomics","Q Exactive HF-X"
"PXD027583","Homo sapiens (human)","Skin;Fibroblast","Shotgun proteomics","Q Exactive HF"
"PXD027623","Xenopus laevis (african clawed frog)","Egg","Gel-based experiment","Q Exactive"
"PXD027893","Homo sapiens (human)","Blood;Platelet","Shotgun proteomics","Q Exactive"
"PXD028028","Saccharomyces cerevisiae (baker's yeast)","","Shotgun proteomics","Q Exactive HF"
"PXD028107","Homo sapiens (human)","Breast","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD028125","Homo sapiens (human)","Cell culture;Stem cell","Shotgun proteomics","LTQ Orbitrap"
"PXD028515","Homo sapiens (human);Mus musculus (mouse)","Blood plasma","Shotgun proteomics","Q Exactive HF"
"PXD028568","Camponotus floridanus","","Shotgun proteomics;Gel-based experiment","Q Exactive"
"PXD028599","Tribolium castaneum (red flour beetle)","Permanent cell line cell","Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion Lumos"
"PXD028644","Amycolatopsis","Cell culture","Shotgun proteomics","Q Exactive Plus"
"PXD028657","Fusarium graminearum","Fungal cell;Hyphal cell","Shotgun proteomics","Q Exactive HF"
"PXD028780","Homo sapiens (human)","Epithelial cell","Shotgun proteomics","Q Exactive Plus"
"PXD028897","Trypanosoma cruzi","Cell culture","Shotgun proteomics","Q Exactive HF"
"PXD029297","Homo sapiens (human)","Cell culture","Shotgun proteomics","Q Exactive"
"PXD029669","Streptomyces sp. mbt42;Bacteria","Whole body","Shotgun proteomics","Q Exactive HF"
"PXD029710","Homo sapiens (human)","Blood serum","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD029795","Homo sapiens (human)","Cell culture;Stem cell","Shotgun proteomics","Q Exactive HF"
"PXD029895","Homo sapiens (human)","Blood;T cell","Shotgun proteomics","Q Exactive HF-X"
"PXD030381","Homo sapiens (human)","Cell culture","Shotgun proteomics;Gel-based experiment;Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion;LTQ Orbitrap Velos;Q Exactive HF"
"PXD030755","Nicotiana benthamiana","Leaf;Plant cell","Shotgun proteomics","Q Exactive HF-X"
"PXD030884","Homo sapiens (human)","Nasal mucosa","Shotgun proteomics","Q Exactive HF"
"PXD030995","Mus musculus (mouse)","Hippocampal neuron;Progenitor cell;Brain","Shotgun proteomics","Q Exactive"
"PXD031109","Homo sapiens (human)","Epithelial cell;Cell culture","Shotgun proteomics","LTQ Orbitrap"
"PXD031144","Homo sapiens (human)","Skin;Fibroblast","SRM/MRM;Shotgun proteomics","LTQ Orbitrap;Q Exactive"
"PXD031354","Cephalotaxus hainanensis","Leaf;Plant cell","HDMSE","Q Exactive HF"
"PXD031829","Homo sapiens (human);Mus musculus (mouse)","","Shotgun proteomics","Q Exactive"
"PXD002969","Arabidopsis thaliana (mouse-ear cress)","Leaf;Plant cell","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD004356","Homo sapiens (human)","Diploid cell;Cell culture","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD010282","Spodoptera frugiperda;Trichoplusia ni","","Shotgun proteomics","Orbitrap Fusion Lumos;Q Exactive"
"PXD010455","Arabidopsis thaliana (mouse-ear cress)","Cell culture","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD011143","Homo sapiens (human)","","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD024001","Homo sapiens (human)","Glial cell;Cell culture;Brain","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD025319","Mus musculus (mouse)","Spleen;Blood cell","Shotgun proteomics","Orbitrap Fusion"
"PXD027215","Homo sapiens (human)","Bone marrow;Mesenchymal cell;Fibroblast;Synovium","Shotgun proteomics","Q Exactive Plus"
"PXD027280","Danio rerio (zebrafish) (brachydanio rerio)","Mandible","Shotgun proteomics","Q Exactive HF"
"PXD028245","Homo sapiens (human)","Skin;Mast cell","Shotgun proteomics","Q Exactive HF-X"
"PXD029191","Homo sapiens (human)","Cell culture","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD029660","Mus musculus (mouse)","Prostate adenocarcinoma cell","Shotgun proteomics","Q Exactive"
"PXD029776","Homo sapiens (human)","Macrophage","Shotgun proteomics","Q Exactive HF"
"PXD030113","Escherichia coli","","Shotgun proteomics","Q Exactive"
"PXD030463","Homo sapiens (human)","Blood;Bone marrow;Blood cell","Top-down proteomics","LTQ Orbitrap"
"PXD030925","Aedes aegypti","Hemolymph;Ovary","Shotgun proteomics","Orbitrap Fusion Lumos;Q Exactive Plus"
"PXD031378","Mus musculus (mouse)","Liver;Hepatocyte","Shotgun proteomics","Q Exactive HF"
"PXD031444","Mus musculus (mouse)","Heart","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD022120","Arabidopsis thaliana (mouse-ear cress)","Leaf","Shotgun proteomics","Q Exactive HF"
"PXD022214","Homo sapiens (human)","Epithelial cell;Ileum","Shotgun proteomics","Q Exactive"
"PXD024122","Arabidopsis thaliana (mouse-ear cress)","Leaf","Shotgun proteomics","Q Exactive HF"
"PXD024328","Arabidopsis thaliana (mouse-ear cress)","Leaf","Shotgun proteomics","Q Exactive"
"PXD024329","Arabidopsis thaliana (mouse-ear cress)","Leaf","Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD024486","Homo sapiens (human)","Permanent cell line cell;Brain","Shotgun proteomics","Q Exactive"
"PXD025651","Acinetobacter baumannii","","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD026577","Staphylococcus aureus","","Shotgun proteomics","Q Exactive"
"PXD027439","Homo sapiens (human)","Liver;Primary cell;Stem cell","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD027488","Mus musculus (mouse)","Brain","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion Lumos"
"PXD027854","Homo sapiens (human)","Permanent cell line cell;Cell culture","Shotgun proteomics","Q Exactive HF"
"PXD028412","Homo sapiens (human)","","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD028744","Homo sapiens (human);Mus musculus (mouse)","Cell culture","Shotgun proteomics","Q Exactive"
"PXD028911","Homo sapiens (human)","Cell culture","Shotgun proteomics","Q Exactive HF"
"PXD028924","Drosophila melanogaster (fruit fly)","","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD028943","Homo sapiens (human)","","Shotgun proteomics","timsTOF Pro"
"PXD030078","Bacteria;Faecalibacterium prausnitzii a2-165","","Shotgun proteomics","Q Exactive"
"PXD030166","Homo sapiens (human)","Permanent cell line cell;Cell culture","Shotgun proteomics","Orbitrap Exploris 480"
"PXD030294","Homo sapiens (human)","Lung","Shotgun proteomics","Orbitrap Fusion"
"PXD030309","Arabidopsis thaliana (mouse-ear cress)","Cell suspension culture;Plant cell","Shotgun proteomics","Q Exactive HF"
"PXD030443","Physcomitrella","","Shotgun proteomics","6520 Quadrupole Time-of-Flight LC/MS;Q Exactive"
"PXD030524","Homo sapiens (human)","Cell culture","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD030764","Homo sapiens (human)","Liver;Hepatocyte","Shotgun proteomics","maXis"
"PXD031088","Mus musculus (mouse)","Liver;Liver","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive Plus"
"PXD031790","Trichomonas vaginalis","Cell culture","Shotgun proteomics","Orbitrap Fusion"
"PXD031791","Mus musculus (mouse)","Preosteoclast;Osteoclast","Shotgun proteomics","Orbitrap Fusion;Q Exactive HF"
"PXD031795","Sus scrofa domesticus (domestic pig)","","Shotgun proteomics","Q Exactive"
"PXD031803","Chlamydomonas reinhardtii","","Shotgun proteomics","Q Exactive"
"PXD032260","Caenorhabditis elegans","Whole body","Shotgun proteomics","Orbitrap Fusion"
"PXD032912","Homo sapiens (human)","Blood serum","Affinity purification coupled with mass spectrometry proteomics","6220 Time-of-Flight LC/MS"
"PXD033012","Homo sapiens (human)","Brain","Shotgun proteomics","Q Exactive HF"
"PXD033538","Homo sapiens (human)","Keratinocyte;Cell culture","Shotgun proteomics","Q Exactive HF"
"PXD019139","Arabidopsis thaliana (mouse-ear cress)","Root","Shotgun proteomics","Orbitrap Fusion"
"PXD022482","Homo sapiens (human)","Cell suspension culture;B cell","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD022553","Homo sapiens (human)","Cell suspension culture;Bone marrow;B cell","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD022731","Mus musculus (mouse)","Testis","Shotgun proteomics","Q Exactive HF"
"PXD022792","Homo sapiens (human)","","Shotgun proteomics","Q Exactive"
"PXD023238","Caenorhabditis elegans","","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD024525","Mus musculus (mouse)","Heart","Shotgun proteomics","Q Exactive"
"PXD024746","Mus musculus (mouse)","Breast cancer cell","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD025069","Arabidopsis thaliana (mouse-ear cress)","Leaf","Shotgun proteomics","Q Exactive HF"
"PXD025933","Homo sapiens (human)","Neural retina;Pluripotent stem cell;Brain","Shotgun proteomics","Q Exactive Plus"
"PXD027120","Homo sapiens (human)","","Shotgun proteomics","Q Exactive"
"PXD027251","Homo sapiens (human)","Cell culture","Shotgun proteomics","Q Exactive"
"PXD027328","Homo sapiens (human)","Permanent cell line cell;Cell culture","Shotgun proteomics","Q Exactive HF"
"PXD027330","Homo sapiens (human)","Permanent cell line cell;Cell culture","Shotgun proteomics","Q Exactive"
"PXD027427","Rattus norvegicus (rat)","Heart","Top-down proteomics","Q Exactive"
"PXD027494","Homo sapiens (human)","Permanent cell line cell","Shotgun proteomics","Q Exactive"
"PXD027745","Mus musculus (mouse)","Colon","Shotgun proteomics","Q Exactive"
"PXD027779","Mus musculus (mouse)","Primary cell line cell","Shotgun proteomics","Q Exactive HF"
"PXD028157","Rattus norvegicus (rat)","Brain","Shotgun proteomics","Q Exactive Plus"
"PXD028261","Mus musculus (mouse)","Blood;Hematopoietic tissue","Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD028276","Homo sapiens (human);Human herpesvirus 1 (strain 17) (hhv-1) (human herpes simplex virus 1)","Macrophage","Shotgun proteomics","Q Exactive HF"
"PXD028365","Arabidopsis thaliana (mouse-ear cress)","Rosette","Shotgun proteomics","Q Exactive HF"
"PXD028579","Saccharomyces cerevisiae (baker's yeast)","","Shotgun proteomics","Orbitrap Exploris 480;timsTOF Pro"
"PXD028925","Mus musculus (mouse)","Permanent cell line cell","Shotgun proteomics","Q Exactive HF"
"PXD028992","Homo sapiens (human)","Permanent cell line cell","Top-down proteomics","Orbitrap Fusion"
"PXD029031","Rattus norvegicus (rat)","Heart","Shotgun proteomics","Q Exactive HF"
"PXD029105","Cytomegalovirus sp.;Homo sapiens (human)","Amniotic fluid","Shotgun proteomics","Q Exactive HF"
"PXD029202","Homo sapiens (human)","Tendon","Shotgun proteomics","Q Exactive HF"
"PXD029668","Bacillus subtilis subsp. subtilis str. 168;Bacteria;Corynebacterium glutamicum atcc 13032;Escherichia coli;Pseudomonas putida kt2440","","Shotgun proteomics","Q Exactive HF-X"
"PXD029898","Homo sapiens (human)","","Shotgun proteomics","Q Exactive Plus"
"PXD029970","Homo sapiens (human)","Cervical cell line","Shotgun proteomics","Q Exactive"
"PXD030800","Homo sapiens (human)","Cell culture","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap"
"PXD030883","Homo sapiens (human);Mycobacterium tuberculosis","Blood plasma","Shotgun proteomics","Q Exactive HF"
"PXD030998","Paenibacillus amylolyticus","Biofilm","Shotgun proteomics","Q Exactive HF"
"PXD031026","Xanthomonas retroflexus","","Shotgun proteomics","Q Exactive HF"
"PXD031137","Fusarium oxysporum f. sp. conglutinans fo5176","Fungal cell","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD031167","Schistosoma mansoni (blood fluke)","Whole body","Shotgun proteomics","Q Exactive"
"PXD031445","Gallus gallus (chicken)","","Shotgun proteomics","Orbitrap Fusion"
"PXD031710","Mus musculus (mouse)","","Shotgun proteomics","Orbitrap Fusion"
"PXD031797","Mus musculus (mouse)","Heart","Shotgun proteomics","Q Exactive"
"PXD031987","Rattus norvegicus (rat)","Retina","Shotgun proteomics","LTQ Orbitrap XL"
"PXD032030","Homo sapiens (human)","Cell suspension culture;Cell culture;Blood cell","Shotgun proteomics","Q Exactive Plus"
"PXD032031","Homo sapiens (human)","Blood;B cell;Cell culture","Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion Lumos;Q Exactive Plus"
"PXD032153","Mus musculus (mouse)","Brown fat cell","Shotgun proteomics","Q Exactive"
"PXD032276","Homo sapiens (human);Plasmodium falciparum 365.1","Blood;Blood cell","Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD032742","Mus musculus (mouse)","Brain;Electrically active cell","Shotgun proteomics","LTQ Orbitrap Elite"
